"id","kod","city_turkey","district_turkey","country_id:id"
1,"01","Adana","Seyhan","base.tr"
2,"01","Adana","Yüreğir","base.tr"
3,"01","Adana","Sarıçam","base.tr"
4,"01","Adana","Çukurova","base.tr"
5,"01","Adana","Aladağ(Karsantı)","base.tr"
6,"01","Adana","Ceyhan","base.tr"
7,"01","Adana","Feke","base.tr"
8,"01","Adana","İmamoğlu","base.tr"
9,"01","Adana","Karaisalı","base.tr"
10,"01","Adana","Karataş","base.tr"
11,"01","Adana","Kozan","base.tr"
12,"01","Adana","Pozantı","base.tr"
13,"01","Adana","Saimbeyli","base.tr"
14,"01","Adana","Tufanbeyli","base.tr"
15,"01","Adana","Yumurtalık","base.tr"
16,"02","Adıyaman","Besni","base.tr"
17,"02","Adıyaman","Çelikhan","base.tr"
18,"02","Adıyaman","Gerger","base.tr"
19,"02","Adıyaman","Gölbaşı","base.tr"
20,"02","Adıyaman","Kahta","base.tr"
21,"02","Adıyaman","Samsat","base.tr"
22,"02","Adıyaman","Sincik","base.tr"
23,"02","Adıyaman","Tut","base.tr"
24,"03","Afyonkarahisar","Afyonkarahisar","base.tr"
25,"03","Afyonkarahisar","Başmakçı","base.tr"
26,"03","Afyonkarahisar","Bayat","base.tr"
27,"03","Afyonkarahisar","Bolvadin","base.tr"
28,"03","Afyonkarahisar","Çay","base.tr"
29,"03","Afyonkarahisar","Çobanlar","base.tr"
30,"03","Afyonkarahisar","Dazkırı","base.tr"
31,"03","Afyonkarahisar","Dinar","base.tr"
32,"03","Afyonkarahisar","Emirdağ","base.tr"
33,"03","Afyonkarahisar","Evciler","base.tr"
34,"03","Afyonkarahisar","Hocalar","base.tr"
35,"03","Afyonkarahisar","İhsaniye","base.tr"
36,"03","Afyonkarahisar","İscehisar","base.tr"
37,"03","Afyonkarahisar","Kızılören","base.tr"
38,"03","Afyonkarahisar","Sandıklı","base.tr"
39,"03","Afyonkarahisar","Sincanlı(Sinanpaşa)","base.tr"
40,"03","Afyonkarahisar","Sultandağı","base.tr"
41,"03","Afyonkarahisar","Şuhut","base.tr"
42,"04","Ağrı","Ağrı","base.tr"
43,"04","Ağrı","Diyadin","base.tr"
44,"04","Ağrı","Doğubeyazıt","base.tr"
45,"04","Ağrı","Eleşkirt","base.tr"
46,"04","Ağrı","Hamur","base.tr"
47,"04","Ağrı","Patnos","base.tr"
48,"04","Ağrı","Taşlıçay","base.tr"
49,"04","Ağrı","Tutak","base.tr"
50,"05","Amasya","Amasya","base.tr"
51,"05","Amasya","Göynücek","base.tr"
52,"05","Amasya","Gümüşhacıköy","base.tr"
53,"05","Amasya","Hamamözü","base.tr"
54,"05","Amasya","Merzifon","base.tr"
55,"05","Amasya","Suluova","base.tr"
56,"05","Amasya","Taşova","base.tr"
57,"06","Ankara","Altındağ","base.tr"
58,"06","Ankara","Çankaya","base.tr"
59,"06","Ankara","Etimesgut","base.tr"
60,"06","Ankara","Keçiören","base.tr"
61,"06","Ankara","Mamak","base.tr"
62,"06","Ankara","Sincan","base.tr"
63,"06","Ankara","Yenimahalle","base.tr"
64,"06","Ankara","Gölbaşı","base.tr"
65,"06","Ankara","Pursaklar","base.tr"
66,"06","Ankara","Akyurt","base.tr"
67,"06","Ankara","Ayaş","base.tr"
68,"06","Ankara","Bala","base.tr"
69,"06","Ankara","Beypazarı","base.tr"
70,"06","Ankara","Çamlıdere","base.tr"
71,"06","Ankara","Çubuk","base.tr"
72,"06","Ankara","Elmadağ","base.tr"
73,"06","Ankara","Evren","base.tr"
74,"06","Ankara","Güdül","base.tr"
75,"06","Ankara","Haymana","base.tr"
76,"06","Ankara","Kalecik","base.tr"
